lon,lat,name,amenity
-122.0272058,37.5880833,Union City Library,library
-117.7357233,33.5551711,Ikeda Library,library
-120.6622109,35.2822609,San Luis Obispo Library,library
-120.6535078,35.2955038,,library
-122.0341186,37.353152,Fremont High School Library,library
-118.1147251,33.7770895,University Library,library
-121.6246091,39.1375467,Sutter County Free Library,library
-122.0390244,37.3719467,Sunnyvale Public Library,library
-118.1597369,34.0339083,East Los Angeles Public Library,library
-117.2395125,32.6744913,Cabrillo National Monument Library,library
-122.1881757,37.8024514,Cusing Library,library
-122.2047883,37.8087102,Head-Royce Read Library,library
-117.8736701,33.6020369,Sherman Library & Gardens,library
-119.0100871,35.3727721,Beale Memorial Library,library
-119.1032583,35.3514257,Walter W. Stiern Library,library
-118.9908957,35.3834607,,library
-119.0237841,35.3318603,Kern County Library - Eleanor Wilson Branch,library
-118.1496026,34.1692893,La Pintoresca Branch Pasadena Public Library,library
-118.9736521,35.4090962,Grace Van Dyke Bird Library,library
-122.2618741,37.8755432,Graduate Theological Union Hewlett Library,library
-117.6593322,33.6806751,Foothill Ranch Public Library,library
-119.9736258,38.944463,El Dorado County Library South Lake Tahoe Branch,library
-118.1168511,34.1453012,Shatford Library,library
-119.8616559,36.431171,,library
-119.5533767,36.5147152,Kingsburg Public Library,library
-119.6093539,36.5674543,,library
-122.022239,37.5680346,Centerville Branch Alameda County Library,library
-122.0548677,36.9997951,Crown Library,library
-122.0535729,36.9968927,Page Smith Library,library
-122.1591921,37.4438772,Palo Alto Downtown Library,library
-122.4681394,37.7818476,Richmond / Senator Milton Marks Branch Library,library
-122.4681147,37.7818523,Richmond Branch - San Francisco Public Library,library
-117.12293,33.4970121,Temecula Public Library,library
-118.2117741,34.1258709,Mary Norton Clapp Library,library
-117.2696546,33.1054616,Carlsbad City Library (Dove Branch),library
-120.855796,37.3279074,Stevinson Branch Merced County Library,library
-117.2324926,33.2020715,San Diego County Library - Vista Branch,library
-117.160658,33.526633,Grace Mellman Library,library
-117.9511687,33.7070456,Fountain Valley Branch Library,library
-117.9864644,33.7551751,Westminster Branch Orange County Public Library,library
-122.2932435,37.5088415,,library
-122.2894677,37.5056091,Carlmont High School Library,library
-117.0795394,33.1222697,Christian Science Reading Room,library
-118.4976435,34.2643319,"Los Angeles Public Library, Granada Hills Branch",library
-116.9691998,32.8573368,,library
-117.1816785,33.1503886,LL,library
-122.3047526,37.5334514,Hillsdale Branch Library,library
-117.0745101,33.1268296,Libreria Cristiana,library
-117.0342555,32.6614652,Bonita-Sunnyside Library,library
-117.1991303,32.8676029,North University Community Branch San Diego Public Library,library
-117.0062711,32.816586,Learning Resource Center (70),library
-117.7784262,33.6996234,Heritage Park Regional Library,library
-117.0797281,33.1209117,Escondido Public Library,library
-117.2116688,33.557821,Murrieta Public Library,library
-117.3126614,33.8956073,,library
-117.0833574,32.6410373,,library
-117.1041915,32.6705884,National City Public Library,library
-121.2844209,38.7460447,Roseville Public Library,library
-122.5491109,37.9548464,Learning Center,library
-122.7108408,38.4413719,Santa Rosa Central Branch Sonoma County Library,library
-122.2160748,37.8014785,Dimond Branch Oakland Public Library,library
-121.4963863,38.5757766,California State Resources Agency Library,library
-121.8211431,37.2676532,Edenvale Branch Library,library
-122.3353242,37.9175037,Building A B C,library
-122.1612255,37.4762482,Belle Haven Community Library,library
-117.8967656,33.9165075,,library
-122.1056299,37.6417776,Building 100,library
-122.3970087,37.6022942,Millbrae Branch San Mateo County Library,library
-122.2625318,37.8382334,Temescal Branch Oakland Public Library,library
-121.6628135,37.1243456,Morgan Hill Library,library
-117.9126609,33.6687964,OCC Library,library
-117.9009601,33.6611224,O Cope Budge Library,library
-117.056574,33.0763426,,library
-121.9379505,37.3483649,Santa Clara University Library,library
-122.1917814,37.4554038,Bowman Library,library
-117.9442849,33.9324548,La Habra Branch Library,library
-118.1333249,33.8487638,Angelo M Iacoboni Library,library
-123.8011326,39.4456804,Fort Bragg Branch Mendocino County Library,library
-122.2141583,37.4773673,Fair Oaks Branch Redwood City Public Library,library
-117.0247418,33.2426089,Valley Center Branch San Diego County Library,library
-117.5734226,34.1487843,Library,library
-121.0982547,35.5655488,Cambria Branch San Luis Obispo City-County Library,library
-122.2822245,37.8392304,Golden Gate Branch Oakland Public Library,library
-120.8588141,37.5248391,Vasche Library,library
-121.3317548,38.7672287,Martha Riley Community Library,library
-122.2586664,37.5303405,Redwood Shores Branch Library,library
-117.7660095,33.7948602,Lorenzo A. Ramirez Library - L Building,library
-117.4621056,33.9392356,Arlanza Branch Riverside Public Library,library
-121.9782354,37.2201711,Los Gatos Public Library,library
-122.0834382,37.3903045,Mountain View Public Library,library
-122.631628,38.2423377,Petaluma Branch Sonoma County Library,library
-121.7961431,36.6523083,Tanimura & Antle Family Memorial Library,library
-121.8773087,36.5975548,NPS Dudley Knox Library,library
-121.8969355,36.5964154,Monterey Public Library,library
-121.8524433,36.6031754,,library
-118.401167,34.1946742,Valley Plaza Branch Los Angeles Public Library,library
-119.8789238,34.4380581,,library
-117.9373891,33.7773563,Garden Grove Regional Library,library
-121.8941277,37.3415155,Santa Clara County Law Library,library
-122.4562484,37.7241348,Ingleside Branch Library,library
-120.837557,35.3132335,Los Osos Library,library
-117.2375802,32.8811382,Geisel Library,library
-122.1486797,37.4233732,College Terrace Library,library
-122.4448527,37.7888849,Presidio Branch Library,library
-122.4375667,37.7841234,Western Addition Branch Library,library
-118.2466129,33.9440131,Alma Reaves Woods - Watts Branch Library,library
-121.572682,37.0050765,Gilroy Library,library
-123.1589939,39.1340875,DRBU Library,library
-122.4102156,37.7952262,Chinatown / Him Mark Lai Branch Library,library
-122.4981069,37.7511581,Ortega Branch Library,library
-122.4972077,37.7785244,Anza Branch Library,library
-121.4809152,38.491316,"Martin Luther King, Jr. Regional Library",library
-119.5887228,37.7480983,Yosemite Branch Library,library
-119.5795404,37.7399079,Yosemite Conservation Heritage Center,library
-118.1371862,34.1891869,Altadena Public Library,library
-117.1597285,33.1291217,Kellogg Library,library
-122.2182073,38.1040674,Springstowne Library,library
-117.8031946,34.1079968,San Dimas Library,library
-120.6712869,35.4831491,IMC Library,library
-120.003458,35.3210149,California Valley Community Services,library
-121.2341498,36.0068224,,library
-122.0556253,36.9840767,CASFS Library,library
-117.8410916,33.6471316,Langson Library,library
-120.4970306,35.0289031,Nipomo Library,library
-117.9719959,33.7881927,Chapman Branch Library,library
-117.9192627,33.8315072,Anaheim Public Library,library
-117.8853808,33.8815207,Pollack Library,library
-118.3707668,33.7707194,Peninsula Center Library,library
-120.3755149,35.6552432,,library
-121.0277087,37.3163748,Newman Branch Stanislaus County Free Library,library
-121.9570947,36.9891161,,library
-120.9935474,37.643165,Modesto Main Branch Stanislaus County Library,library
-121.8870621,37.3497984,Joyce Ellington Branch Library,library
-120.1846494,38.0643154,Mi-Wuk Village Library and Community Center,library
-117.9035743,33.6327029,Mariners Branch Newport Beach Public Library,library
-120.9055804,35.4522771,Friends of Cayucos Library,library
-122.2606746,38.1017159,John F. Kennedy Library,library
-117.8062182,33.7822205,El Modena Branch Orange Public Library,library
-117.8497313,33.7882421,Orange Public Library,library
-118.0045424,33.7018942,Central Library,library
-117.8185921,33.8894515,Richard Nixon Presidential Library & Museum,library
-122.8140583,38.549455,Windsor Regional Library,library
-122.4336409,37.7339779,Glen Park Branch Library,library
-120.3609131,36.1414314,Coalinga-Huron Library,library
-122.4063713,37.7271063,Portola Branch Library,library
-118.1402637,34.6985443,Lancaster Public Library (L.A. County),library
-121.9647927,37.5219532,Irvington Branch Alameda County Library,library
-116.7138068,33.7437385,Idyllwild Public Library,library
-121.5233051,38.5802465,Arthur F Turner Community Library (Yolo County Library),library
-118.1780648,34.0559338,City Terrace Library,library
-122.274122,38.2718412,1700 - McCarthy Library,library
-120.4850124,37.3068747,Merced County Library,library
-117.2923588,34.1066602,Law Library for San Bernardino County - San Bernardino,library
-117.8750059,33.7493338,Orange County Law Library,library
-117.8731983,33.7511428,Santa Ana Public Library,library
-117.9305366,33.8707118,Fullerton Public Library,library
-117.851185,33.7929198,Leatherby Library,library
-121.9432312,37.2882125,Campbell Library,library
-117.7781546,33.6757808,,library
-118.3100314,34.1084859,Louis B Mayer Library,library
-121.5119342,38.5240376,Belle Cooledge Community Library,library
-120.6639029,35.4891384,Atascadero Public Library,library
-117.8457496,33.8155017,Taft Branch Orange Public Library,library
-117.1048072,34.2063461,,library
-122.4793107,37.7431361,Parkside Branch Library,library
-118.121816,34.1450451,Hill Avenue Branch Pasadena Public Library,library
-121.0645889,38.6720971,El Dorado County Library,library
-121.0057037,38.6599882,El Dorado County Library,library
-79.8868386,40.0649078,Manderino Library,library
-116.074009,33.5695564,Mecca Library,library
-121.8972865,36.5997934,William Tell Coleman Library,library
-122.4510145,37.7701504,Park Branch Library,library
-121.9447976,37.3473351,Mission Branch Library,library
-121.0240701,39.2697768,Nevada County Madelyn Helling Library,library
-122.0466431,37.3203455,De Anza Library,library
-118.9485237,34.8192131,Kern County Library,library
-122.4161532,37.738855,Bernal Heights Branch Library,library
-117.820769,33.7428171,Tustin Library,library
-122.3040276,37.9083781,El Cerrito Branch Contra Costa County Library,library
-121.4626255,38.577141,McKinley Library,library
-122.2422916,37.7667567,Alameda Free Library Main Branch,library
-122.1390735,37.4449668,Rinconada Library,library
-122.154999,37.4301525,Stanford Auxiliary Library,library
-122.1673247,37.4292003,Lathrop Library,library
-121.9189624,37.7028689,Alameda County Library Dublin,library
-117.3275374,33.972651,Tomas Rivera Library,library
-121.9097589,37.7539326,Dougherty Station Library,library
-119.7032174,34.4238567,Santa Barbara Public Library,library
-122.3491623,37.5792672,Burlingame Public Library,library
-122.2805733,40.3873858,Cottonwood Community Library,library
-121.9857179,37.2708724,Westmont High School Library,library
-118.0394116,33.8248245,Cypress Branch Library,library
-122.2024185,37.4807763,Western Philatelic Library,library
-117.309011,34.022842,Serra House Library,library
-121.8961271,36.6038526,Mayo Hayes O'Donnell Library,library
-122.2305478,37.4872845,San Mateo County Law Library,library
-122.2274475,37.4838847,Redwood City Public Library,library
-121.5139187,38.2408032,Walnut Grove Branch Library,library
-116.2126221,34.1416973,Library,library
-118.417116,33.9594189,Westchester-Loyola Village Branch Library,library
-117.3108773,33.8900626,,library
-118.2763316,33.8321156,Carson Library,library
-117.5677724,33.8749827,Corona Public Library,library
-119.7621329,34.422108,,library
-119.7352069,36.7267978,,library
-117.3331019,33.8829443,Library,library
-121.7535635,36.2208598,Henry Miller Memorial Library,library
-122.4319056,37.7640473,Eureka Valley / Harvey Milk Memorial Branch Library,library
-117.6656531,33.5532952,Learning Resource Center and Library,library
-79.8890351,40.0682686,California Area Public Library,library
-121.7163213,38.541483,Marguerite Montgomery Elementary South Davis Satelite Branch (Yolo County Library),library
-121.3093221,37.9798393,William Knox Holt Memorial Library,library
-118.4461528,34.1839895,Van Nuys Branch Los Angeles Public Library,library
-118.1305416,33.7580538,Bay Shore Branch Long Beach Public Library,library
-118.3325188,33.7341975,,library
-122.4290331,37.7967874,Golden Gate Valley Branch Library,library
-118.3530364,33.8045627,Walteria Branch Library,library
-121.4236637,38.5596089,Sac State Library,library
-122.2015573,37.4701535,Garfield Community School Library,library
-121.2920954,38.8499302,Lincoln Public Library,library
-122.0754765,37.3442472,Woodland Branch Library,library
-117.8938628,33.8809562,Troy Library,library
-122.1873814,37.8824613,Orinda Library,library
-117.7853472,33.8451528,Canyon Hills Public Library,library
-117.1889614,32.9591199,Media Center,library
-119.9674702,37.4895422,Mariposa County Library,library
-116.5275678,33.8187957,Palm Springs Public Library,library
-120.2434722,39.6762946,Sierra Valley Community Library,library
-121.9580139,36.9787785,Capitola Library,library
-122.0149745,37.270049,Saratoga Library,library
-122.3976619,37.7601232,Potrero Branch Library,library
-122.4763171,37.7633717,Sunset Branch Library,library
-122.0125201,37.9241222,Ygnacio Valley Branch Contra Costa County Library,library
-121.7737659,38.6792283,Woodland Public Library,library
-122.3269406,37.5619226,San Mateo Public Library,library
-122.4519251,37.7765189,Richard A Gleeson Library,library
-117.3235962,34.0687034,Carnegie Library,library
-122.4659961,37.714143,Ocean View Branch Library,library
-122.4078973,37.7124704,Visitacion Valley Branch Library,library
-122.391148,37.7325508,Bayview Branch Library,library
-118.4619856,34.2733007,Archival Center,library
-117.1427186,32.9152318,Mira Mesa Branch San Diego Public Library,library
-118.3432808,33.8377328,Katy Geissert Civic Center Library,library
-121.2602517,37.955517,Fair Oaks Library,library
-122.4341246,37.8014042,Marina Branch Library,library
-122.4591646,37.7635352,Kalmanovitz Library,library
-122.4744888,37.7266248,Merced Branch Library,library
-118.0693754,33.9166169,Norwalk Library,library
-118.0986262,33.8088818,El Dorado Library,library
-122.4333058,37.7271266,Excelsior Branch Library,library
-118.1256415,33.8319247,Ruth Bach Library,library
-119.3188258,37.1012745,Shaver Lake Branch Library,library
-121.2463913,37.934178,Southeast Branch Stockton-San Joaquin County Public Library,library
-121.3648742,38.7046793,Antelope Library,library
-117.7642806,34.1114068,La Verne Branch County of Los Angeles Public Library,library
-118.0877601,33.7738183,Leisure World Library,library
-118.1745472,33.7829256,Mark Twain Library,library
-118.1032244,33.8463799,George Nye Jr. Library,library
-118.1214345,33.8824482,Clifton M. Brakensiek Library,library
-122.2836904,38.2955962,Napa County Library,library
-118.1452276,34.1261897,Allendale Branch Pasadena Public Library,library
-117.7306763,33.9976163,James S. Thalman Chino Hills Branch Library,library
-119.7822867,38.6933049,Markleeville Library,library
-118.1847523,33.8235973,Dana Library,library
-120.7236711,37.379426,Livingston Branch Merced County Library,library
-117.3244172,33.9745678,Orbach Science Library,library
-120.4376559,37.5195679,Snelling public library,library
-121.9000405,37.3029358,Willow Glen Branch Library,library
-122.3853265,37.9265096,Richmond Public Library - Westside Branch,library
-120.8510777,37.4031066,Irwin-Hilmer Branch Merced County Library,library
-118.1225921,33.7933438,Los Altos Branch Library,library
-121.9088003,36.9809861,,library
-116.0546767,34.1433631,Twentynine Palms Branch Library,library
-122.3440824,37.9358824,Richmond Public Liibrary - Main Library,library
-121.2269377,38.7890673,,library
-122.2076348,37.7724393,Melrose Branch Oakland Public Library,library
-121.8610136,38.0065558,LMC Library,library
-120.6462537,36.9678084,,library
-120.4246502,37.3663848,Kolligian Library,library
-120.2519724,37.2288669,Le Grand Library,library
-120.6061525,37.3508113,Atwater Branch Merced County Library,library
-120.4760937,37.3372291,Library,library
-120.7226393,37.3759053,Library,library
-120.4504988,37.2882707,Library,library
-120.3206973,37.2915269,Planada Library,library
-120.8145259,37.0674074,,library
-119.8059984,36.7208141,,library
-118.0022572,34.1486308,Monrovia Public Library,library
-119.8301003,34.4475684,Goleta Valley Public Library,library
-121.5405212,36.8475696,Carl Martin Luck Memorial Library,library
-118.3965147,37.3629086,Bishop Library,library
-116.5465148,33.822877,Welwood Murray Memorial Library,library
-121.4050883,36.8517049,San Benito County Free Library,library
-122.3932,37.7753882,Mission Bay Branch Library,library
-118.4652091,33.9876596,Venice-Abbot Kinney Memorial Branch,library
-122.2544712,37.8565299,Claremont Branch Berkeley Public Library,library
-121.9781566,37.5760467,Niles Branch Alameda County Library,library
-121.2197589,37.7988219,Manteca Branch Stockton-San Joaquin County Public Library,library
-122.1127347,37.4222049,Mitchell Park Library,library
-121.8909952,38.0187531,Pittsburg Library,library
-122.1157331,37.8919454,Lafayette Library and Learning Center,library
-121.7576106,36.7676291,Castroville Branch Library,library
-121.6572244,36.6720025,John Steinbeck Library,library
-119.1789444,34.2009819,Oxnard Public Library,library
-121.7849062,37.6868458,Rincon Library,library
-118.9012666,36.4422298,Three Rivers Branch Library,library
-122.4763447,37.5844151,Pacifica Sanchez Library,library
-121.495193,38.5816442,Sacramento Central Public Library,library
-121.504403,38.5846787,California State Railroad Museum Library and Archivers,library
-117.9992968,33.6620304,Main Street Branch,library
-117.3725,33.8795772,Woodcrest Library,library
-119.782272,38.6932913,Markleeville Library,library
-117.1337193,32.8092013,Serra Mesa-Kearny Mesa Library,library
-117.1775473,32.6911477,Coronado Public Library,library
-118.3839392,34.081937,West Hollywood Branch County of Los Angeles Public Library,library
-122.4781324,37.7213854,J. Paul Leonard Library,library
-122.4919451,37.6321868,,library
-120.3848714,36.7488244,,library
-122.0164269,38.6919068,Esparto Branch Yolo County Library,library
-118.253585,34.1439971,Glendale Downtown Central Library,library
-119.6461851,37.5472187,Bassett Memorial Library,library
-117.1988021,33.098559,SEMS Library,library
-122.7035881,38.3488513,Rohnert Park Cotati Regional Library,library
-118.3013483,34.2582533,Sunland-Tujunga Library,library
-121.1280943,36.2123114,King City Public Library,library
-123.3535774,39.4171348,Willits High Library,library
-118.914978,34.404632,Fillmore Branch Ventura County Library,library
-118.0645849,33.8670085,Cerritos Public Library,library
-118.1450986,33.7823779,Brewitt Library,library
-120.1992953,39.3252943,Truckee Branch Nevada County Public Library,library
-118.2305445,33.9158692,Bilbrew Library,library
-118.3991019,34.072877,Beverly Hills Public Library,library
-122.7308932,38.4592291,Northwest Santa Rosa Library,library
-117.9291508,33.7458523,Newhope Library Learning Center,library
-119.8454594,34.4137673,Davidson Library,library
-121.8682194,37.3464433,East San José Carnegie Branch Library,library
-122.4888618,37.8596493,Civic Center and Public Library,library
-121.9469869,37.3957473,Northside Branch Library,library
-117.7169974,33.5224863,Laguna Niguel Branch Library,library
-114.5977016,33.6178719,Palo Verde Valley District Library,library
