longitude,latitude,name,amenity,zipcode,zip_distance_km
-117.7848707,34.0356188,,school,91766,2.6673705988991494
-117.9401807,34.1495134,,school,91010,1.8087245127036085
-117.9980307,34.1500762,,school,91017,0.23715685582839513
-118.2432978,34.223106,Crescenta Valley High School,school,91224,0.3181822907828404
-118.1838683,34.6481361,,school,93534,5.720251624456868
-121.7116421,37.9891602,O'Hara Park Middle School,school,94561,0.8867317228479905
-118.5243813,34.2453419,Northridge Academy High School,school,91325,1.228834898413047
-118.6198866,34.450808,Live Oak Elementary School,school,91385,1.2447843466644757
-118.6391769,34.4709596,Castaic Middle School,school,91384,1.816326752777222
-118.897632,34.2709241,,school,93021,2.0616193604524913
-117.6349643,33.442452,Shorecliffs Middle School,school,92674,1.297941012603405
-121.9759021,37.2233969,Los Gatos High School,school,95030,0.9573217482202661
-118.0622742,33.8056189,Los Alamitos Elementary School,school,90721,0.7227629428467373
-118.0617803,33.8085155,McAuliffe Middle School,school,90721,0.9605426511419626
-122.4218473,37.7751619,International High School,school,94119,0.2170579197101557
-122.1277518,37.8663401,Campolindo High School,school,94556,2.53670377856727
-118.4785274,34.2374539,James Monroe High School,school,91343,0.26809776733829965
-118.4692443,34.2339755,Our Lady of Peace Catholic School,school,91343,0.6695972247374418
-122.3995673,37.7819019,Academy of Art University,school,94105,1.0393416664304413
-118.4815653,34.2410358,Gledhill Elementary School,school,91393,0.5905518208444555
-118.4616898,34.2309082,Rosa Park Learning Center,school,91412,1.2928389699879712
-118.4617547,34.223065,Nobel Elementary School,school,91412,1.1140626698831593
-118.8539225,34.7924487,Gorman Elementary School,school,93243,9.938415940770533
-122.4966659,37.7504136,A. P. Giannini Middle School,school,94116,1.1504477106932034
-115.575586,32.7879924,Margaret Hedrick Elementary School,school,92243,0.8617026601866447
-121.645636,36.69574,Madonna del Sasso School,school,93906,1.6272510025845415
-119.0474064,35.3649201,Caroline Harris Elementary School,school,93302,2.764649815423785
-122.2549327,37.7654357,Saint Joseph Notre Dame High School,school,94501,1.0401992939170732
-123.2241471,39.1648454,Ukiah High School,school,95482,2.7244015996584006
-118.4581719,34.2406851,Valor Academy High School,school,91343,1.6829248936112549
-124.1566184,40.7894951,Eureka High School,school,95501,0.482109886416141
-122.2214286,38.0535305,John Swett High School,school,94525,0.37343951235191764
-122.2789548,37.8582121,Longfellow Middle School,school,94703,0.6404310751052407
